,0,date,ingre,point,review
0,,2021-03-02,갈락토미세스,5.0,#사전체험단 일단 새롭게 바뀐 씨드세럼 너무 좋습니다!! 기존 씨드세럼하고 확실히 차이가 있어요. 기존 씨드세럼이 조금 더 묽은느낌이 있고 새로 나온 세럼이 좀더 쫀쫀한 젤에 가까운 제형이에요. 향도 다릅니다. 기존 세럼이 그린티의 정석향이라면 바뀐 세럼은 그린티향이 확 줄고 스킨케어에서 날 법한 은은한 향이 나서 향에 민감한 사람도 잘 사용할 수 있을 것 같아요. 기존 세럼도 흡수력이 좋았지만 브포세럼이나 자연발효에센스만큼은 아니였거든요. 그런데 바뀐 세럼은 흡수력이 더 좋아져서 놀랐어요. 다만 기존세럼이 레이어링이 쉬웠다면 바뀐세럼은 조금은 텀을 주고 레이어링하는게 더 나은 것 같아요.
1,,2021-03-02,갈락토미세스,5.0,"#사전체험단 업그레이드 되어 돌아왔음. 1. 뚜껑의 변화 대만족!!! 플라스틱 뚜껑이 사라지고, 펌프를 직접 돌려쓸 수 있게 되어 환경에도 착하고, 굉장히 편해졌다. 기존 플러스틱 뚜껑은 한번 잃어버리면 손깃만 스쳐도 세럼이 눌러질까 불편했었다. 2. 촉촉함하면 그린티 씨드 세럼이다. 한번만 써본 사람은 없을 것이다. 재구매율이 굉장히 높을 듯. 나역시 몇통을 썼는지 세본적은 없지만, 내 구매 수치를 캡쳐할 수 있다면 꼭 첨부하고 싶을 정도. 속건조에 촉촉함을 더해줌. 3. 진정효과! 마스크 쓰는 시국에 진정이 제일 중요한 법"
2,,2021-03-02,갈락토미세스,5.0,"최근 속당김도 심하고 코 주변 살이 자주 터서 유분기 많은 크림을 발라야만 얼굴이 안땡겼는데 다른거 다 동일하게 쓰고 바뀐건 세럼 하나인데 일주일 사용해보니 속당김과 코밑 살 트는 증상이 눈에 띄게 좋아졌어요 묽은 제형(볼에 짜면 쥬륵 흘러요)이라 생각보다 가벼워서 속보습은 기대 안했는데 막상 바르고나니 가볍지만 촉촉하게 오래 유지됐어요. 한가지 호불호가 있겠다 싶었던건 향인데, 남자 스킨냄새같은 강한 첫 향이 있지만 바르는 동안 향이 금방 날아가서 크게 부담스러운 향은 아니었어요 이니스프리 세럼을 3-4년 만에 다시 사용해보는데 여전히 좋네요 :)"
3,,2021-03-02,갈락토미세스,5.0,"#사전체험단 체험단 신청해서 사용해보게됐어요^^ 받아왔는데 샘플 크기가 꽤 커서 놀랐네요ㅎㅎ 받고나서 며칠 써봤는데 완전 물같은 제형은 아니지만 꽤 묽은편이고, 그래서인지 피부에 굉장히 빨리 흡수가 잘 됐어요. 사용감도 산뜻한 편이라서 다가올 봄여름에도 부담스럽지 않게 사용할 수 있을거같아요ㅎ 어느 피부 타입이든 촉촉하게 무난하기 쓰기 좋을듯!!!"
4,,2021-03-02,갈락토미세스,5.0,#사전체험단 그린티 씨드 세럼이 새로 리뉴얼 됐다는 소식 듣고 얼른 신청해보았습니다. 저는 우선 너무 감격스러운게 뚜껑이 보완되었더라구요 뚜껑 잃어버리면 어디 들고다닐때 새나올까봐 갖고다니질못했어요ㅠ 통을 흔들어봤을때부터 차이점을느낄수있는데 더 액체화되었더라구요 전에는 통에끈적였다면 지금은 찰랑찰랑거립니다. 그만큼 수분감이 업되었구요 그런데 발라보면 신기하게도 더 쫀쫀한 텍스쳐를 느낄수있습니다. 향은 좀더 세진것같습니다. 저는 대만족해서 세럼 하나 더 쟁였어요♡
5,,2021-03-02,갈락토미세스,5.0,#사전체험단 새롭게 업그레이드될 제품을 미리 사용해볼수 있는 좋은 이벤트네요~ 투명하고 묽은 제형으로 향은 거의 없는거 같고 촉촉하게 잘 마무리되어서 여름에도 잘 사용할수 있을거같아요~ 화장대가 점점 이니스프리 화장품으로 채워지고 있네요 ㅎㅎ
6,,2021-03-02,갈락토미세스,4.0,#사전체험단 체험단 매장수령으로 배송비 없이 무료로 그린티 씨드 세럼 사용해볼수 있어서 너무 좋으네요~ 이니스프리는 이런 소비자가 좋아할만한 이벤트 자주해서 너무 좋아요~!! 용량도 넉넉하고 충분히 사용해보고 본품 구매하러 오겠습니다.
7,,2021-03-02,갈락토미세스,5.0,#사전체험단 세수하고 발라보니 피부가 촉촉함이 느껴지는 부드러운 느낌이 좋아요. 향기도 맘에드는 향긋하고 상쾌한 향이 좋아요
8,,2021-03-02,갈락토미세스,5.0,"#사전체험단 어렷을때 자주 썼는데 , 요즘 마스크때문에 피부 트러블이 올라와서 체험단 신청하고 다시 써봤어요. 확실히 너무 순해서 뾰루지 올라오던게 가라앉고, 마스크 안쪽에 습기차는데 피부는 건조해졌었는데 완전 촉촉하게 수분감 듬뿍! 마스크 필수인 요즘 같은때에 더욱 빛을 발하는 제품"
9,,2021-03-02,갈락토미세스,5.0,배송도 빨리 오고 너무 좋아요 샘플도 들어있어서 좋아용
